audio_file,raw_text,label,session
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro01_F000.wav, Excuse me.,3,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro01_F001.wav, Yeah.,3,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro01_F002.wav, Is there a problem?,3,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro01_F003.wav, You did.,3,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro01_F004.wav, You were standing at the beginning and you directed me.,3,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro01_F005.wav, Well what's the problem?  Let me change it.,3,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro01_F012.wav, That's out of control.,0,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro01_F014.wav," Clearly.  You know, do you have like a supervisor or something?",3,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro01_M011.wav, I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,0,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro01_M013.wav, Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,0,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F000.wav, Did you get the mail? So you saw my letter?,1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F001.wav, Yeah.  I know.,1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F002.wav, I don't know.  I put in that. request too. They didn't...,1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F003.wav," I guess, you know, everybody has to make sacrifices.",3,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F004.wav," There's people that have given more though, you know?",1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F005.wav, I know.,1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F006.wav," There's babies over there, though, that need mothers.",3,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F007.wav," I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F008.wav," Just, you know, kicking myself.",1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F009.wav, like you sign up because you need money and,1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F010.wav, things just aren't what they seem.,1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F011.wav," We're doing the right thing, though.",1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F012.wav," If not me then, who?",1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F013.wav," You'll videotape everything, yeah?",1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F014.wav," Maybe you can send it to me, like stream it, yeah?",1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F015.wav, Last month--  Yeah.,1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F016.wav, I have to find sitters.,3,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F017.wav," We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F018.wav, And your mother is close by.,3,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F019.wav, I'll send you lots of letters.,1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_F020.wav, And I want lots and lots and lots of pictures.,1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_M000.wav, It's not fair.,1,1
/dist_home/suryansh/sharukesh/speech/iemocap_wavs/Ses01F_impro02_M001.wav," I don't understand.  You've already done so much, I don't know why do you have to go back.",1,1
