audio_file,raw_text,label,speaker_id
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_dis-f1-d1.wav,Sabato sera cosa farà?,5,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_gio-f1-b2.wav,I vigili sono muniti di pistola.,2,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_gio-f1-d1.wav,Sabato sera cosa farà?,2,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_gio-f1-n1.wav,La casa forte vuole col pane.,2,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_gio-f1-n5.wav,Uno quarantatré dieci mille cinquantasette venti.,2,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_neu-f1-b3.wav,La cascata fa molto rumore.,3,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_neu-f1-l1.wav,L’autunno prossimo Tony partirà per la Spagna nella prima metà di ottobre.,3,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_neu-f1-l3.wav,Un attimo dopo s’è incamminato ... ed è inciampato.,3,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_neu-f1-l4.wav,Vorrei il numero telefonico del Signor Piatti.,3,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_neu-f1-n3.wav,Il gatto sta scorrendo nella pera.,3,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_neu-f1-n4.wav,Insalata pastasciutta coscia d’agnello limoncello.,3,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_pau-f1-d2.wav,Porti con te quella cosa?,4,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_pau-f1-l1.wav,L’autunno prossimo Tony partirà per la Spagna nella prima metà di ottobre.,4,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_pau-f1-n2.wav,La forza trova il passo e l’aglio rosso.,4,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_pau-f1-n3.wav,Il gatto sta scorrendo nella pera.,4,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_rab-f1-l1.wav,L’autunno prossimo Tony partirà per la Spagna nella prima metà di ottobre.,0,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_rab-f1-l3.wav,Un attimo dopo s’è incamminato ... ed è inciampato.,0,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_rab-f1-l4.wav,Vorrei il numero telefonico del Signor Piatti.,0,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_rab-f1-n2.wav,La forza trova il passo e l’aglio rosso.,0,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_rab-f1-n5.wav,Uno quarantatré dieci mille cinquantasette venti.,0,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_tri-f1-b1.wav,Gli operai si alzano presto.,1,f1
/dist_home/suryansh/sharukesh/speech/emovo_wavs_16k/EMOVO_f1_tri-f1-l1.wav,L’autunno prossimo Tony partirà per la Spagna nella prima metà di ottobre.,1,f1
